f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,Label
0.32805,1.27197,0.603659,0.84377,0.477544,1.0726,0.646797,0.561696,1.143311,-0.175292,0.473992,0.324309,0.768246,0.742111,0.594691,0.278699,0.589186,0.745516,0.519705,1.098396,0.875407,0.608564,-0.455709,0.501761,0.883543,0.474288,0.736465,0.498941,0.704622,1.230454,0.954035,0.016989,3.103889,4.049151,4.375534,3.102708,3.755587,4.917948,3.729113,4.986636,0.22938,0.308894,0.283672,0.024366,-0.161089,0.500441,0.665189,0.277449,0.385701,1.250734,1.037285,0.483596,0.793444,-0.136391,0.721332,0.571916,0.431625,0.614764,0.542021,0.008862,1.355898,1.027868,0.425492,-0.192255,malware
0.70364,0.595375,0.033939,-0.154214,0.068332,-0.302242,0.453603,0.892602,0.999696,-0.130204,0.714062,0.398025,-0.718173,0.210421,0.160343,0.904868,2.91807,3.563379,3.26181,2.659386,3.061517,3.999234,3.231983,3.71764,0.742974,0.158281,-0.21754,-0.158318,1.01325,0.428282,-0.42022,0.735282,-0.444083,-0.011756,0.396582,1.494189,0.7272,0.142925,0.372741,0.773869,0.999838,0.248562,0.261622,-0.013522,0.659321,0.821687,-0.512408,0.181437,-0.186051,0.427908,-0.197076,-0.234063,0.865584,0.285483,0.333042,0.554258,0.796869,0.171633,0.181658,0.18357,0.846679,0.329339,0.229006,0.535903,r2l
0.05975,0.977158,0.789416,0.311574,0.66651,0.165952,0.351487,0.909454,0.811971,0.369065,0.740159,0.566531,0.151232,0.524742,0.794415,0.737772,-0.161678,0.674744,0.611442,-0.254226,0.236382,0.821234,1.223161,-0.138233,1.040686,-0.246168,1.228883,0.4926,0.278375,0.759542,0.166876,0.832165,3.794214,2.135491,3.485179,3.935994,4.329912,3.999174,4.322729,3.447717,0.92744,0.934986,-0.133939,1.094782,0.747318,0.473336,0.46559,0.132892,0.883864,0.735922,0.862317,0.635545,0.692604,0.466845,1.084557,0.872866,0.677782,0.539444,-0.195578,-0.293086,0.434264,1.170911,0.282812,0.300508,malware
0.163311,-0.069175,-0.149022,0.002126,0.198733,0.045091,-0.164014,0.306573,0.394796,0.123639,0.243416,0.31049,0.282525,0.153525,0.149587,0.129915,-0.274334,0.175181,-0.338953,-0.19865,0.325891,0.210055,0.37185,-0.067919,-0.288062,-0.060109,0.025508,0.019747,0.28342,-0.090318,0.088009,-0.247157,0.112579,0.000777,-0.187453,-0.058957,-0.046044,-0.067539,0.442835,-0.024612,-0.060974,-0.524363,-0.223552,-0.065768,-0.171463,0.345427,-0.041234,0.322111,0.015426,0.009307,-0.022199,0.000949,0.429699,-0.579903,-0.500386,-0.135793,0.003632,0.172526,0.118272,-0.096061,0.254761,0.257549,0.046014,0.240664,normal
-0.634803,0.438546,0.343204,0.653718,0.314549,0.847005,0.9264,-0.022801,0.700574,0.023596,0.815848,0.390057,0.238103,-0.169702,0.558518,0.0789,-0.067597,0.683683,1.03616,0.777513,-0.043944,0.538448,0.906254,0.538624,0.746489,0.403233,0.426887,0.303174,0.875406,0.903788,0.350172,0.939689,3.207861,3.772995,3.240848,3.340664,3.235452,3.554922,4.128888,3.814737,0.337242,0.521923,-0.325332,0.857317,-0.411436,0.281742,0.564505,0.800494,0.707544,0.577727,1.25587,1.506685,0.603175,0.554961,0.528122,0.325108,0.769136,1.172194,-0.520581,0.523652,1.269867,0.776925,0.786208,-0.12041,malware
0.311704,0.679549,1.088418,0.408956,0.491688,0.311482,0.746628,0.886022,0.638076,0.376751,-0.194876,0.458207,0.393621,0.586198,0.532557,1.187584,0.166616,-0.228868,-0.034141,0.19487,0.966903,-0.103759,-0.043711,0.666258,3.962188,2.882843,2.782575,3.226059,3.875813,3.644452,3.242512,3.912744,0.535937,0.431582,-0.246457,0.133267,1.360617,0.328668,0.049443,0.307987,0.533588,0.877505,0.759488,0.175532,1.05221,0.84661,0.27969,0.422311,0.750301,0.963617,-0.203401,0.511702,0.465994,0.223215,0.220889,0.954469,0.720605,1.427986,0.223593,0.541711,0.619365,0.883238,1.091286,0.522125,u2r
-0.365614,0.194967,0.188218,0.210794,-0.385184,0.07473,0.168995,-0.257801,0.002293,-0.029067,0.460538,0.481124,-0.416089,0.623482,-0.228806,0.245168,0.242624,-0.248923,0.123317,-0.026883,0.138583,0.057668,0.299085,0.01885,-0.041969,0.274016,0.145099,0.182953,-0.166147,-0.261316,-0.141931,-0.155205,0.19655,0.243996,-0.038783,0.35773,0.342117,0.06085,-0.205473,0.393844,-0.015254,0.031541,-0.084901,-0.222448,-0.36716,0.158217,-0.19585,0.764883,-0.271518,-0.314346,0.127535,0.382328,0.016147,0.143061,-0.460887,-0.169378,-0.268404,-0.473761,0.029245,-0.560707,-0.330549,-0.134298,-0.207821,0.099102,normal
0.361047,0.462056,0.289867,-0.328908,0.292574,-0.330165,1.158191,0.244192,-0.568217,0.26707,0.762929,0.439235,-0.051235,0.054788,0.230919,0.162151,2.743195,3.279581,2.70982,3.73707,3.791998,2.858566,2.98751,3.11965,0.345817,0.475581,0.568374,0.557875,1.059239,0.387164,-0.226117,-0.364132,1.096104,0.589345,0.452904,0.562055,0.432121,0.554935,0.192335,0.834838,0.123811,-0.046479,-0.40088,0.253024,0.930376,0.154192,-0.260347,0.488173,0.067019,1.05672,0.843569,-0.211903,0.281747,0.020128,-0.162227,0.334829,0.728205,0.323232,0.127732,-0.632806,0.060383,0.608312,-0.243873,0.937153,r2l
2.198858,2.162517,3.007356,1.970048,3.405487,2.841872,2.750271,2.304355,0.463968,0.118693,-0.188743,0.209921,-0.637253,-0.615897,-0.384084,0.277287,0.118534,0.592041,-0.293995,0.378601,0.068758,-0.30437,0.293388,0.090295,-0.163104,0.1389,0.061711,0.05084,-0.065667,-0.467227,0.153644,-0.241221,-0.339148,0.011685,0.450312,0.203526,-0.119014,-0.137106,0.406116,-0.958531,0.478814,-0.723307,-0.516934,-0.11142,1.096556,0.874839,0.437919,0.280444,-0.718025,0.190541,-0.12715,-0.247501,0.189661,-0.092,0.511185,-0.75118,0.153755,-0.275594,-0.064336,0.257082,-0.382789,0.193904,0.024448,-0.177264,dos
-0.012649,0.160105,0.544227,0.985243,-0.170883,-0.046501,0.820719,-0.102132,-0.02626,0.991442,0.380405,0.345985,1.095732,0.001661,-0.088793,1.213146,0.584995,0.785867,0.340012,0.432031,0.163305,0.623154,0.854118,0.568192,4.057408,3.878078,3.108201,3.514865,3.378222,3.919045,3.787714,3.637322,0.936115,-0.359556,0.208591,0.246771,0.59328,0.728765,0.479412,-0.111732,0.663047,0.537628,-0.180921,0.347069,0.648311,1.223944,-0.010082,0.835554,-0.004413,-0.091774,-0.065216,0.752256,0.538452,0.33839,0.686024,0.49837,0.529734,0.343413,0.017604,1.241088,1.110194,1.195571,0.237308,0.173133,u2r
0.282143,0.133807,0.940956,0.409828,0.222475,0.965585,0.806452,0.506638,0.441924,0.770788,0.842444,0.69401,0.654288,0.327019,0.353984,0.522679,0.167505,0.114878,0.55962,1.045251,-0.33281,0.423853,0.722633,1.082538,1.409954,0.483973,1.487636,0.805005,0.966403,0.12058,0.80403,1.005253,3.539791,2.677476,3.917053,3.753279,4.454914,3.60776,3.532746,3.322861,0.316462,1.800129,-0.113993,-0.000881,0.575564,1.488554,0.933695,1.298548,0.426727,-0.025547,0.397853,0.543883,0.604931,0.503707,0.865831,0.279637,0.182779,0.057921,0.692262,0.647588,1.09114,1.296146,0.056681,0.610585,malware
-0.196494,-0.072469,0.049595,-0.191804,-0.20157,-0.340061,0.097681,0.136331,0.057915,0.241293,0.021967,0.098003,0.075959,-0.022885,-0.132705,0.553538,-0.112988,-0.166469,0.108502,0.062964,-0.351198,0.28067,-0.023549,-0.277733,0.297196,0.156419,-0.316135,0.444296,0.164699,-0.002549,0.397555,0.039824,-0.007021,-0.165075,0.145463,0.119151,0.00367,-0.197497,0.032482,-0.01745,-0.333369,-0.367953,0.141288,-0.650472,0.051353,-0.119521,0.327062,-0.123367,0.164871,-0.099228,0.028437,0.184209,-0.115639,0.249139,-0.248424,0.073648,0.23066,0.165009,0.479111,-0.19086,-0.344787,-0.248584,0.165111,0.124481,normal
